AppID,Title,Original_Prices,Discounts,Sale_Prices,Image,URL
3768760,007 First Light,$69.99,0%,$69.99,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3768760/dbe86ebd2edb4c77d113e9e2feefeb90189fabc9/header_2x.jpg?t=1780705646,https://store.steampowered.com/app/3768760/007_First_Light
578080,PUBG: BATTLEGROUNDS,Free To Play,0%,Free To Play,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/841ea38bc58cabb70aef65365cf50bc2d79329d9/header_2x.jpg?t=1778634253,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS
2767030,Marvel Rivals,Free To Play,0%,Free To Play,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/1c28b9ed355e516c85b84b1332aa91ea727f60b1/header_2x.jpg?t=1778835753,https://store.steampowered.com/app/2767030/Marvel_Rivals
3240220,Grand Theft Auto V Enhanced,$29.99,-50%,$14.99,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/header_2x.jpg?t=1765479644,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced
1808500,ARC Raiders,$39.99,-20%,$31.99,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1808500/04baafaf64a5aa5f46ecda5d71889a4848dc0628/header_2x.jpg?t=1776865359,https://store.steampowered.com/app/1808500/ARC_Raiders
553850,HELLDIVERS™ 2,$39.99,0%,$39.99,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/ff42fd1f124b56e9b3555d2bb21fc97f12bded23/hero_capsule.jpg?t=1779899567,https://store.steampowered.com/app/553850
1659040,HITMAN World of Assassination,$69.99,-60%,$27.99,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1659040/hero_capsule.jpg?t=1780701514,https://store.steampowered.com/app/1659040
2357570,Overwatch®,Free To Play,0%,Free To Play,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2357570/5be5bc1b1c36f4f67fb7d765a6e3a948bbbcd35f/hero_capsule_alt_assets_20.jpg?t=1778610036,https://store.steampowered.com/app/2357570
552990,World of Warships,Free To Play,0%,Free To Play,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/552990/089b165a03a69511af354bc93e06588f8da68cb7/hero_capsule_alt_assets_12.jpg?t=1780653803,https://store.steampowered.com/app/552990
1874880,Arma Reforger,$39.99,0%,$39.99,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1874880/hero_capsule.jpg?t=1779966148,https://store.steampowered.com/app/1874880
2074920,The First Descendant,Free To Play,0%,Free To Play,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2074920/bfc06f73d228384172ec3b02f22f9ca5a2784920/hero_capsule.jpg?t=1780408872,https://store.steampowered.com/app/2074920
2221490,Tom Clancy’s The Division® 2,$29.99,-75%,$7.49,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2221490/a7ab8e81f383cffbaed2ed1bd238b602f3ce1c94/hero_capsule.jpg?t=1778172597,https://store.steampowered.com/app/2221490
2139460,Once Human,Free To Play,0%,Free To Play,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2139460/193a51fb742b0f3f5d86cd9793e1dbe54ba767ac/hero_capsule.jpg?t=1780649341,https://store.steampowered.com/app/2139460
